JPG,X_axis, Y_axis, Width, Height, CLASS, PNG
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-2.jpg,192,131,64,125,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_1.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-17.jpg,0,53,256,186,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_2.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-21.jpg,0,26,19,74,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_3.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-22.jpg,20,203,23,49,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_4.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-25.jpg,80,0,36,213,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_5.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-26.jpg,52,0,135,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_6.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-27.jpg,75,0,36,251,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_7.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-40.jpg,184,0,62,80,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_8.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-41.jpg,88,201,168,55,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_9.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-42.jpg,0,0,197,226,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_10.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-43.jpg,174,110,82,139,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_11.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-60.jpg,0,0,243,131,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_12.png
